"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2024","0.5587","0.5585","0.5643","0.5469","17.52M","0.12%"
"02/07/2024","0.5581","0.5288","0.5643","0.5256","20.44M","5.54%"
"02/06/2024","0.5288","0.5271","0.5419","0.5211","19.58M","0.30%"
"02/05/2024","0.5272","0.5239","0.5426","0.5095","23.65M","0.64%"
"02/04/2024","0.5239","0.5617","0.5622","0.5218","22.03M","-6.73%"
"02/03/2024","0.5617","0.5692","0.5741","0.5542","14.55M","-1.32%"
"02/02/2024","0.5692","0.5419","0.5789","0.5394","33.01M","5.05%"
"02/01/2024","0.5418","0.5663","0.5762","0.5391","32.01M","-4.32%"
"01/31/2024","0.5663","0.5999","0.6030","0.5634","30.14M","-5.61%"
"01/30/2024","0.5999","0.6282","0.6407","0.5950","26.99M","-4.43%"
"01/29/2024","0.6277","0.6021","0.6320","0.5927","20.07M","4.27%"
"01/28/2024","0.6020","0.6236","0.6328","0.5949","17.59M","-3.48%"
"01/27/2024","0.6237","0.6102","0.6245","0.6052","13.68M","2.22%"
"01/26/2024","0.6102","0.5794","0.6192","0.5738","19.46M","5.31%"
"01/25/2024","0.5794","0.5998","0.6022","0.5664","22.58M","-3.41%"
"01/24/2024","0.5999","0.5708","0.6016","0.5586","27.23M","5.10%"
"01/23/2024","0.5708","0.5594","0.5743","0.5288","36.02M","2.03%"
"01/22/2024","0.5594","0.5933","0.5981","0.5524","36.07M","-5.68%"
"01/21/2024","0.5931","0.6124","0.6191","0.5915","12.41M","-3.15%"
"01/20/2024","0.6124","0.6182","0.6192","0.5973","15.29M","-0.92%"
"01/19/2024","0.6181","0.6184","0.6344","0.5820","28.34M","-0.05%"
"01/18/2024","0.6184","0.6774","0.6791","0.6089","43.09M","-8.71%"
"01/17/2024","0.6774","0.6902","0.6986","0.6685","24.63M","-1.86%"
"01/16/2024","0.6902","0.6849","0.7065","0.6668","28.70M","0.80%"
"01/15/2024","0.6848","0.6517","0.6936","0.6512","27.16M","5.07%"
"01/14/2024","0.6517","0.6889","0.6929","0.6510","19.51M","-5.40%"
"01/13/2024","0.6889","0.6855","0.6997","0.6568","21.79M","0.50%"
"01/12/2024","0.6855","0.7251","0.7309","0.6618","46.67M","-5.59%"
"01/11/2024","0.7261","0.7158","0.7792","0.6972","70.29M","1.45%"
"01/10/2024","0.7157","0.6475","0.7359","0.6319","56.67M","10.56%"
"01/09/2024","0.6474","0.6818","0.6906","0.6267","51.81M","-5.05%"
"01/08/2024","0.6818","0.6216","0.6830","0.5669","58.42M","9.67%"
"01/07/2024","0.6217","0.6483","0.6613","0.6106","27.41M","-4.10%"
"01/06/2024","0.6483","0.6896","0.6896","0.6204","39.52M","-5.98%"
"01/05/2024","0.6895","0.7260","0.7450","0.6682","54.76M","-5.02%"
"01/04/2024","0.7260","0.6575","0.7296","0.6429","43.18M","10.41%"
"01/03/2024","0.6575","0.7330","0.7400","0.5659","78.96M","-10.30%"
